tstamp,nspots,hem,nflares,c,latitude,mean_of_wtd_means,mean_of_wtd_stds,std_of_wtd_means,std__of_wtd_stds
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,10,0.040497447155739254,0.08100133980478492,0.0008353793395994949,0.003024132701133802
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,15,0.039796633346097066,0.07797256539648154,0.0011579670253233337,0.003971452295482629
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,20,0.038757769845972574,0.07382349071204264,0.0009021198135986895,0.003552997351530902
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,25,0.03817642763543585,0.07155692400946599,0.0007925613810612264,0.0033759578891171026
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,30,0.037400221595493624,0.06822024040421895,0.0011889786745079112,0.004527545615578314
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,35,0.03654392054449029,0.0647186553390007,0.001055459685335987,0.004626987984004056
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,40,0.03581415969877329,0.060782882332230434,0.000772172864517004,0.0037015318442287525
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,45,0.0350637730248606,0.05805170270018158,0.0008520741368394163,0.0036199690783464016
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,50,0.03497500038386289,0.05680542575747376,0.0009590270140116574,0.004894675545150637
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,55,0.03418497881784143,0.05270695239141191,0.0007940795384711243,0.003860016769185777
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,60,0.03336896193239894,0.04889869268942209,0.0007152502277091492,0.0044520940521747526
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,65,0.03284959343963029,0.04544794981390184,0.0005755468162370251,0.003387377933813172
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,70,0.03222383781595835,0.04111626280596942,0.0005791915248332815,0.00414986406164367
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,75,0.031628864633363396,0.03687012457509422,0.00065170534568267,0.004549134654573858
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,80,0.031170976563921562,0.03285320663938055,0.0005210824589035658,0.00407865437377667
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,10,0.05636879102814539,0.09906045086408091,0.001225969057322437,0.0031023491106706097
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,15,0.05489006395230709,0.09489641163864614,0.0017107817849896887,0.004899212606559599
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,20,0.05429885992535839,0.09247045033159569,0.001536852401216692,0.004539384737026906
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,25,0.052547710090941294,0.0863768874872975,0.0015640410552241254,0.004416222048791823
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,30,0.051991668637867396,0.0839748810290374,0.001425108646519823,0.004010453894786274
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,35,0.05106385332665217,0.08091110566149529,0.0013740503877501511,0.003979683545661107
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,40,0.049575843968901794,0.07626501732917809,0.0012548431972130942,0.004285474458852363
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,45,0.04869815890887235,0.07212736581154917,0.0014577941263774295,0.005807737868044295
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,50,0.047671099236765824,0.06839035799871095,0.0012595159610739877,0.004548991358784828
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,55,0.047009474903796436,0.0642642471225138,0.0011257327417283547,0.004465081779972671
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,60,0.04654790122585866,0.062065075273289014,0.001233629813876398,0.004349307091701036
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,65,0.045229819193276816,0.05613643370770577,0.0009435977402435579,0.004497602215643752
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,70,0.04454815385449466,0.05253353685847023,0.0005613792450292409,0.0031723813226617282
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,75,0.04411841609631573,0.04924929293819748,0.0009471162873486948,0.004149302621721635
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,80,0.043099769677400514,0.04354924164375916,0.0007120976796389121,0.003263804803121712
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,10,0.0693627708628892,0.11313325260175428,0.0020649760343512576,0.004626929735542615
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,15,0.06694876937711255,0.10553170034646173,0.0013969632296029753,0.00351270252831377
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,20,0.06574929932474476,0.10269900615355988,0.0014713101048493716,0.004561686495089967
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,25,0.06387969627492605,0.09664226538305078,0.00163293029905368,0.004535932439049988
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,30,0.06245140770645047,0.09198260818101454,0.0015701049850438246,0.0047827098542473035
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,35,0.06167669720284622,0.0883130230599005,0.0017092826690272695,0.004297093325046758
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,40,0.060492727413256966,0.08511494536303081,0.001545571951140681,0.00475632092912712
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,45,0.059598089190866795,0.08185069413788942,0.001441585103776802,0.004481696841349058
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,50,0.05855860132397603,0.07786936685519233,0.0013273268323294675,0.00415776005868356
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,55,0.057921401832224044,0.07465859442392381,0.001194668614307314,0.0038348310627812784
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,60,0.056795389521628936,0.07008865360371858,0.001207140670709332,0.004784795412729579
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,65,0.05610179914089711,0.06623599816887088,0.0013822211748318561,0.004215416173586789
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,70,0.05472641461462455,0.060797382660770755,0.0006828313236714897,0.003508445479191163
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,75,0.05422401579634876,0.05704349679072108,0.0009511892861847353,0.0033440834560730212
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,80,0.05302510168937948,0.05096145767748491,0.0009695430708227714,0.003446424657278266
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,10,0.09219988327161185,0.13369322980152282,0.0031381116367675322,0.005940269141717607
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,15,0.09089018154400733,0.12973722782252106,0.0030279430890980705,0.005867835358601612
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,20,0.08848998221834548,0.12316405227596303,0.002429876228721345,0.004965423399821007
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,25,0.0871389579555117,0.12065293048131112,0.0033056536616834042,0.0074491800100651645
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,30,0.08620548871471542,0.11662408087783407,0.0022880752319194195,0.005131626365599176
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,35,0.0838619565191965,0.10989824734922118,0.0027740256349347756,0.006443528110775105
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,40,0.08209221697311428,0.10592179420612632,0.0018975955158857017,0.004891292018050208
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,45,0.08053412017853877,0.10022689574522879,0.002325589576218864,0.005957319680419107
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,50,0.07869063423688158,0.09483536836362678,0.0024341721976297945,0.0073491231470173765
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,55,0.07763544735650693,0.09090215473740536,0.0017159662611382375,0.0051571637550964985
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,60,0.07785074934057214,0.09032705937567241,0.001790679133603976,0.0053828180933865296
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,65,0.07643631195795071,0.08470360197728592,0.0018802889411675926,0.006114651356743026
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,70,0.07464520081223755,0.078505477163564,0.0017131603653716655,0.005074762152208937
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,75,0.0731728133610983,0.07252186549205258,0.0016138151964020517,0.003531541984832302
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,80,0.07313498735248623,0.07187445286748782,0.001557144390923582,0.004497972331685695
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,10,0.1121725738891988,0.15222456221128863,0.0036702094146692024,0.00620037565918414
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,15,0.11041624096481241,0.14722904214234872,0.004193463028620038,0.007817149154060602
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,20,0.10737187053184395,0.14003567344896714,0.003196870640409863,0.006354582554927921
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,25,0.10495703302492543,0.13390709860738095,0.003053433524250331,0.006615962965996559
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,30,0.10379883524734623,0.12944763909849874,0.00323134201672271,0.005669262786482964
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,35,0.10213262534457418,0.12507597113199997,0.004006583711461087,0.008177200821960027
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,40,0.10035891746871686,0.12037199860861585,0.0032447717884957765,0.00654785288509689
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,45,0.09840923335621247,0.11474739018220252,0.003243870730547045,0.006628512290419682
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,50,0.09691648013601327,0.11025518529953503,0.003568404014078109,0.007994169791894627
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,55,0.09559966411944067,0.10593620208236666,0.0023895311683323705,0.005981976311177895
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,60,0.09482272283706257,0.10214609813600212,0.0022474570535452355,0.005483117383761498
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,65,0.09291790581551423,0.09753324447308107,0.0023419599060191558,0.005349740009984042
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,70,0.09179870682621116,0.09318038687209888,0.002278360566284136,0.00560344189147449
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,75,0.09088015628971911,0.09008135670356034,0.0019804695346389693,0.004295328102133453
2022_03_30_21_00_2022_03_30_20_44,1,bi-hem.,8-15,#E69F00,80,0.08961043183622112,0.08426771471042858,0.0015786032052144008,0.003095958948443909
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,10,0.1468692806089214,0.1780397392664515,0.005699189955491821,0.009337059413385956
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,15,0.14242268233867444,0.1699259963111663,0.004912309327512356,0.009111790371310538
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,20,0.1424236906648499,0.1639481877442465,0.004485180355089109,0.006440763335535691
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,25,0.14178722233664504,0.1616803204585654,0.004626131616589469,0.00941548699800731
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,30,0.13840778073767782,0.15484887962411592,0.005022717545201408,0.007983574086391094
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,35,0.13702732573978504,0.1510178217077695,0.0037319732125922415,0.007886434862731394
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,40,0.1355709261600298,0.1465551251168542,0.00528293975562006,0.009012416493062721
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,45,0.13540677599838882,0.1429673179879379,0.004076986795239414,0.006948504485327983
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,50,0.13419326118377223,0.13631289682482864,0.0050789298253020206,0.007237277133662148
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,55,0.13235568952164228,0.13552305116063917,0.003850958655701861,0.007871836860315156
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,60,0.1304837785935779,0.13079147029562738,0.004484300990832254,0.007373884646349376
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,65,0.12975196318965404,0.12692341096279697,0.002667107184279052,0.006783882835221706
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,70,0.12881713810547651,0.12169227112811867,0.00381189047436578,0.007009699883343044
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,75,0.12586869910438891,0.11572156782375982,0.003302762346484156,0.004544653039806539
2022_03_29_11_08_2022_03_29_10_49,1,bi-hem.,5-10,#E69F00,80,0.1258629377708674,0.11367170352332483,0.0022587520907228877,0.0032697050380980177
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,10,0.1735430129111224,0.19230967695257736,0.00793550247901011,0.010960267913537594
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,15,0.1741511191089356,0.18960797195621998,0.007254786356222292,0.010686388987194087
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,20,0.17074608076178627,0.1835468373786299,0.004827645585239081,0.006555209837692654
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,25,0.16996169196580144,0.17795523961136187,0.005341071032311467,0.007868750950591065
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,30,0.1693143200031463,0.17384633661760013,0.007420698010916281,0.008814102616813656
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,35,0.1720013094870317,0.17319028564373073,0.006384369918452843,0.008184375859315531
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,40,0.16729928458989624,0.1653891617262213,0.006255983864423967,0.008322220831706442
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,45,0.16579156203728937,0.16216133125017657,0.005669684661494963,0.008171969061776519
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,50,0.1668381262609586,0.16115583906646933,0.0053092892706150625,0.006732345684225934
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,55,0.1659959178637463,0.15683925678207195,0.005420294943560846,0.006039204901812903
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,60,0.164947161059644,0.1538991397539252,0.004811911227000096,0.007776029190590135
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,65,0.16094091632164603,0.14624879943722674,0.004505992666286334,0.00609416849875623
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,70,0.161977158240777,0.1439883521448151,0.005674909908455476,0.007994318508676272
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,75,0.1607120061520769,0.14004615958593428,0.004498264944428507,0.005892466555948885
2022_03_30_21_17_2022_03_30_21_04,1,bi-hem.,4-7,#E69F00,80,0.16025710941576668,0.1388503575997703,0.003975306701627974,0.004797691700785957
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,10,0.23123754415528266,0.22722125752255717,0.01794261362424797,0.018315157207051905
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,15,0.23004775124195737,0.22043945813880836,0.013465864719963814,0.013370913869845064
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,20,0.23614404653476231,0.22023070829831318,0.013569693233819513,0.01572513200794195
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,25,0.23516693473169617,0.2154546106734998,0.01337087618235375,0.008224055605384445
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,30,0.23224366875872762,0.21152046689193293,0.015274122309373412,0.011466279295893826
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,35,0.2367554579350317,0.2102601248710257,0.013098011658880804,0.012750940146245664
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,40,0.24354783334622115,0.21135812682717073,0.011646326319706258,0.011719539311087325
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,45,0.24391566690447417,0.20958658552880446,0.012305786927167446,0.01122498930053213
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,50,0.24186204622745205,0.20450905608954548,0.010591622743041186,0.009333097276593755
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,55,0.24079449287136076,0.19845760841507382,0.009384272914909298,0.011977995590502643
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,60,0.24667180163149288,0.2025672984003806,0.010947178407403627,0.0125171774733684
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,65,0.24431498172549143,0.19868304498073747,0.008000779594527972,0.009902852356785884
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,70,0.23780301406436027,0.19249880862903562,0.008732466385018752,0.0091863443787708
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,75,0.24487901834659928,0.19549017428271698,0.009705875290214522,0.009658732938098675
2022_03_31_15_45_2022_03_31_15_25,1,bi-hem.,2-4,#E69F00,80,0.24057580134829673,0.18962286009851953,0.009688266683232569,0.007832992636849553
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,10,0.044329767760815916,0.06502119985782157,0.0010062339397695324,0.0036520114175848037
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,15,0.04377161365270633,0.06249740732479906,0.001325378199582347,0.0036006632927583246
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,20,0.043495018678530915,0.06115547150363154,0.001011187615789871,0.0035799300968997042
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,25,0.043058260892895925,0.05845235179262311,0.0008928294184311052,0.0024037958200247944
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,30,0.042824708608263276,0.05676799952565654,0.0009401855557829092,0.00301161303565005
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,35,0.04224651761837117,0.054635682482592915,0.000976690831861781,0.0033436754011728857
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,40,0.04199423033161721,0.051859751244858907,0.0009943731577964647,0.002982319510820225
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,45,0.041976103980588514,0.0505519165496206,0.0011325041116437688,0.0035967244970256766
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,50,0.04134371980041291,0.049895322992827354,0.0009043115405888793,0.003505613470225884
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,55,0.040957763391689654,0.048165794381988945,0.0008402825807500025,0.002630595498245362
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,60,0.04036352544077663,0.04545503024539796,0.0009215529627356697,0.0029873267082012496
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,65,0.04009117793903232,0.04268913456172306,0.0007273354387581536,0.002285151067800751
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,70,0.04020540441588127,0.041612425212838436,0.001011968039813827,0.003418124660622722
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,75,0.03969872035202374,0.038904388283162006,0.0008862478981439938,0.0027482919964578103
2022_03_30_21_38_2022_03_30_21_20,1-3,bi-hem.,20-30,#CC79A7,80,0.039231656607924874,0.035878864243432826,0.0010344002327495685,0.0023905317987304876
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,10,0.06246212270547554,0.08420825718753946,0.0013714240773100026,0.003213006708635712
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,15,0.06138538921175375,0.08038953216079818,0.0018230834164382694,0.004120900043400272
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,20,0.06118850860040212,0.07984343931855734,0.0015808738614702903,0.0029989506928172946
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,25,0.061154119455197366,0.07745957371606679,0.0017663932897589686,0.004258576006401757
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,30,0.06066600357730927,0.07499225956757735,0.001717932181605144,0.004253681722667225
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,35,0.059709708462997016,0.07222540531578564,0.0013104037920208395,0.003887818324217063
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,40,0.05956809913029192,0.07215714131188929,0.0016214475736833014,0.0040722914578656556
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,45,0.059458214136771534,0.06991265712362849,0.0018997666796929046,0.0033641447123420078
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,50,0.05829539314466601,0.06651101630982961,0.001763969218786249,0.004249579897713176
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,55,0.05779901653305865,0.06434004796151416,0.001670595259113399,0.003750926219347102
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,60,0.05736318449282804,0.0630952486811402,0.0018710540750984355,0.0039003927133438687
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,65,0.05736863909029343,0.06223729585875318,0.0015737585022207819,0.00389999279981174
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,70,0.05661094074998726,0.05879486602352692,0.0013204875235571288,0.0034477787023108265
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,75,0.05642735577940836,0.05743000883731748,0.0015239301031289858,0.0025240151203811717
2022_03_28_20_55_2022_03_28_20_38,1-3,bi-hem.,10-20,#CC79A7,80,0.055677880933083644,0.05473909575259438,0.001118333218718575,0.0023187360880350563
2022_03_30_21_58_2022_03_30_21_41,1-3,bi-hem.,9-14,#CC79A7,10,0.07576114327551495,0.09658161054250974,0.001999270755453369,0.0044483603890102755
